time,wx (rad/s),wy (rad/s),wz (rad/s)
0.001495,0.06,-0.01,0.07
0.002129,0.06,-0.01,0.07
0.002455,0.05,-0.03,0.04
0.009830,0.05,-0.03,0.04
0.026238,0.03,-0.06,0.01
0.029935,0.03,-0.06,0.01
0.040461,0.02,-0.08,0.00
0.050078,0.02,-0.08,0.00
0.060556,0.01,-0.08,0.00
0.070116,0.01,-0.08,0.00
0.081015,-0.01,-0.07,-0.00
0.090644,-0.01,-0.07,-0.00
0.109362,-0.03,-0.06,-0.02
0.110977,-0.03,-0.06,-0.02
0.121092,-0.08,-0.04,-0.03
0.132859,-0.08,-0.04,-0.03
0.141284,-0.13,0.01,0.00
0.151826,-0.13,0.01,0.00
0.161984,-0.19,0.09,0.07
0.171765,-0.19,0.09,0.07
0.182432,-0.23,0.16,0.16
0.191748,-0.23,0.16,0.16
0.209472,-0.24,0.20,0.24
0.212395,-0.24,0.20,0.24
0.221911,-0.21,0.20,0.30
0.232792,-0.21,0.20,0.30
0.242325,-0.13,0.16,0.35
0.252984,-0.13,0.16,0.35
0.263013,-0.01,0.07,0.37
0.273016,-0.01,0.07,0.37
0.293844,0.13,-0.07,0.34
0.294934,0.13,-0.07,0.34
0.303029,0.24,-0.23,0.28
0.313729,0.24,-0.23,0.28
0.324353,0.31,-0.36,0.19
0.333804,0.31,-0.36,0.19
0.344187,0.36,-0.41,0.11
0.353644,0.36,-0.41,0.11
0.365927,0.40,-0.40,0.04
0.374424,0.40,-0.40,0.04
0.384723,0.42,-0.35,-0.01
0.395051,0.42,-0.35,-0.01
0.410694,0.41,-0.24,-0.05
0.416500,0.41,-0.24,-0.05
0.424842,0.37,-0.06,-0.06
0.434723,0.37,-0.06,-0.06
0.445418,0.31,0.14,-0.06
0.455406,0.31,0.14,-0.06
0.465567,0.26,0.33,-0.06
0.477221,0.26,0.33,-0.06
0.485587,0.23,0.44,-0.06
0.496406,0.23,0.44,-0.06
0.509415,0.21,0.46,-0.05
0.515928,0.21,0.46,-0.05
0.526398,0.20,0.40,-0.04
0.536188,0.20,0.40,-0.04
0.546725,0.17,0.28,-0.04
0.556994,0.17,0.28,-0.04
0.566684,0.13,0.13,-0.02
0.577811,0.13,0.13,-0.02
0.587176,0.09,-0.04,0.01
0.597111,0.09,-0.04,0.01
0.610175,0.07,-0.23,0.04
0.617325,0.07,-0.23,0.04
0.627713,0.08,-0.39,0.02
0.638016,0.08,-0.39,0.02
0.649359,0.10,-0.44,-0.09
0.657911,0.10,-0.44,-0.09
0.668388,0.15,-0.23,-0.39
0.678255,0.15,-0.23,-0.39
0.688539,0.24,0.21,-0.86
0.710628,0.24,0.21,-0.86
0.711986,0.35,0.65,-1.29
0.718613,0.35,0.65,-1.29
0.729919,0.44,0.83,-1.43
0.739073,0.44,0.83,-1.43
0.749137,0.43,0.67,-1.20
0.759925,0.43,0.67,-1.20
0.769514,0.32,0.26,-0.72
0.779635,0.32,0.26,-0.72
0.790174,0.13,-0.23,-0.21
0.809123,0.13,-0.23,-0.21
0.810314,-0.07,-0.63,0.16
0.820575,-0.07,-0.63,0.16
0.830314,-0.20,-0.83,0.32
0.840614,-0.20,-0.83,0.32
0.850410,-0.24,-0.87,0.33
0.860885,-0.24,-0.87,0.33
0.870367,-0.21,-0.81,0.25
0.882092,-0.21,-0.81,0.25
0.891386,-0.15,-0.67,0.11
0.901616,-0.15,-0.67,0.11
0.911937,-0.04,-0.43,-0.11
0.921681,-0.04,-0.43,-0.11
0.932546,0.20,-0.04,-0.44
0.941522,0.20,-0.04,-0.44
0.952246,0.58,0.40,-0.79
0.962835,0.58,0.40,-0.79
0.972003,0.86,0.60,-0.92
0.982251,0.86,0.60,-0.92
0.993251,0.77,0.32,-0.67
1.002820,0.77,0.32,-0.67
1.013290,0.34,-0.23,-0.16
1.023347,0.34,-0.23,-0.16
1.032804,-0.14,-0.63,0.29
1.043564,-0.14,-0.63,0.29
1.053253,-0.45,-0.69,0.53
1.064062,-0.45,-0.69,0.53
1.073543,-0.54,-0.50,0.59
1.083201,-0.54,-0.50,0.59
1.094572,-0.49,-0.23,0.53
1.103805,-0.49,-0.23,0.53
1.115248,-0.41,-0.01,0.42
1.124857,-0.41,-0.01,0.42
1.133965,-0.36,0.14,0.28
1.144919,-0.36,0.14,0.28
1.154858,-0.40,0.26,0.13
1.165414,-0.40,0.26,0.13
1.174899,-0.53,0.39,-0.04
1.184834,-0.53,0.39,-0.04
1.196176,-0.76,0.50,-0.24
1.205506,-0.76,0.50,-0.24
1.215914,-1.10,0.56,-0.53
1.225555,-1.10,0.56,-0.53
1.235986,-1.65,0.53,-0.90
1.246072,-1.65,0.53,-0.90
1.256542,-2.57,0.28,-1.37
1.266330,-2.57,0.28,-1.37
1.277196,-4.19,-0.33,-2.06
1.286419,-4.19,-0.33,-2.06
1.302109,-7.23,-1.51,-3.92
1.306626,-7.23,-1.51,-3.92
1.317030,-12.66,-2.59,-12.47
1.327140,-12.66,-2.59,-12.47
1.337372,-18.05,4.39,-26.68
1.349013,-18.05,4.39,-26.68
1.357608,-20.22,11.29,-27.27
1.367335,-20.22,11.29,-27.27
1.377246,-17.49,8.58,-15.65
1.388126,-17.49,8.58,-15.65
1.402084,-10.78,4.50,-7.41
1.407751,-10.78,4.50,-7.41
1.418542,-5.54,2.07,-3.50
1.428202,-5.54,2.07,-3.50
1.438622,-1.88,0.84,-1.62
1.449413,-1.88,0.84,-1.62
1.459045,0.70,0.08,-0.78
1.468744,0.70,0.08,-0.78
1.478732,2.99,-0.73,-0.50
1.489011,2.99,-0.73,-0.50
1.501391,7.70,-3.44,0.73
1.509587,7.70,-3.44,0.73
1.519426,19.24,-15.09,25.79
1.529447,19.24,-15.09,25.79
1.540260,29.98,-15.31,37.74
1.549736,29.98,-15.31,37.74
1.560629,26.14,-4.10,18.57
1.570542,26.14,-4.10,18.57
1.581884,15.90,-1.37,8.28
1.590692,15.90,-1.37,8.28
1.601201,8.46,-0.43,3.64
1.611660,8.46,-0.43,3.64
1.621546,4.49,-0.05,1.60
1.631803,4.49,-0.05,1.60
1.641500,2.34,0.12,0.68
1.650731,2.34,0.12,0.68
1.661369,1.20,0.21,0.26
1.671023,1.20,0.21,0.26
1.681875,0.59,0.27,0.06
1.691751,0.59,0.27,0.06
1.701965,0.25,0.26,0.00
1.712319,0.25,0.26,0.00
1.722145,0.05,0.13,0.04
1.732191,0.05,0.13,0.04
1.742164,-0.05,-0.11,0.10
1.752099,-0.05,-0.11,0.10
1.762859,-0.12,-0.35,0.15
1.772799,-0.12,-0.35,0.15
1.782742,-0.21,-0.47,0.20
1.793802,-0.21,-0.47,0.20
1.802593,-0.41,-0.44,0.24
1.812920,-0.41,-0.44,0.24
1.823905,-0.74,-0.31,0.25
1.832990,-0.74,-0.31,0.25
1.843559,-1.16,-0.18,0.19
1.853403,-1.16,-0.18,0.19
1.864770,-1.64,-0.09,0.06
1.874018,-1.64,-0.09,0.06
1.884276,-2.19,-0.03,-0.22
1.894690,-2.19,-0.03,-0.22
1.904213,-3.02,-0.02,-0.77
1.914570,-3.02,-0.02,-0.77
1.924334,-4.73,-0.17,-2.04
1.934862,-4.73,-0.17,-2.04
1.945392,-9.36,-1.00,-6.63
1.954768,-9.36,-1.00,-6.63
1.965063,-15.75,1.80,-24.20
1.975018,-15.75,1.80,-24.20
1.985337,-19.95,8.77,-33.61
1.995844,-19.95,8.77,-33.61
2.005763,-17.81,9.81,-22.40
2.015945,-17.81,9.81,-22.40
2.025704,-11.81,5.21,-11.19
2.035718,-11.81,5.21,-11.19
2.046560,-6.09,2.18,-4.82
2.056563,-6.09,2.18,-4.82
2.066644,-1.90,0.90,-2.69
2.076553,-1.90,0.90,-2.69
2.086445,1.08,0.17,-1.56
2.101741,1.08,0.17,-1.56
2.107403,3.24,-0.51,-1.03
2.116949,3.24,-0.51,-1.03
2.127119,6.55,-2.60,-0.36
2.137230,6.55,-2.60,-0.36
2.148254,16.39,-22.16,23.35
2.157672,16.39,-22.16,23.35
2.167964,28.40,-27.49,35.38
2.178440,28.40,-27.49,35.38
2.188440,27.41,-9.89,16.72
2.201877,27.41,-9.89,16.72
2.208149,18.11,-2.97,6.27
2.218255,18.11,-2.97,6.27
2.230952,9.97,-0.39,2.12
2.238654,9.97,-0.39,2.12
2.249444,5.59,0.40,0.63
2.259090,5.59,0.40,0.63
2.269649,3.22,0.45,0.14
2.279505,3.22,0.45,0.14
2.289421,1.91,0.26,-0.03
2.301221,1.91,0.26,-0.03
2.309816,1.20,0.04,-0.10
2.319936,1.20,0.04,-0.10
2.331271,0.82,-0.13,-0.13
2.340381,0.82,-0.13,-0.13
2.350534,0.57,-0.24,-0.12
2.360648,0.57,-0.24,-0.12
2.370724,0.34,-0.30,-0.05
2.381160,0.34,-0.30,-0.05
2.391197,0.01,-0.30,0.10
2.401443,0.01,-0.30,0.10
2.411483,-0.46,-0.27,0.26
2.421252,-0.46,-0.27,0.26
2.431527,-1.09,-0.24,0.37
2.441634,-1.09,-0.24,0.37
2.451701,-1.82,-0.25,0.35
2.461544,-1.82,-0.25,0.35
2.471915,-2.62,-0.28,0.14
2.481289,-2.62,-0.28,0.14
2.492014,-3.56,-0.36,-0.34
2.501873,-3.56,-0.36,-0.34
2.512764,-4.89,-0.61,-1.33
2.522428,-4.89,-0.61,-1.33
2.532345,-6.81,-1.29,-3.49
2.542296,-6.81,-1.29,-3.49
2.552974,-9.15,-2.44,-9.43
2.562728,-9.15,-2.44,-9.43
2.573643,-10.54,-1.27,-22.63
2.582955,-10.54,-1.27,-22.63
2.593684,-11.56,3.43,-30.32
2.602995,-11.56,3.43,-30.32
2.614289,-12.15,6.08,-22.97
2.623819,-12.15,6.08,-22.97
2.633868,-11.45,4.93,-13.18
2.644284,-11.45,4.93,-13.18
2.654824,-9.32,3.16,-6.53
2.664492,-9.32,3.16,-6.53
2.674625,-6.99,1.82,-3.18
2.684208,-6.99,1.82,-3.18
2.694721,-5.06,0.98,-1.62
2.704895,-5.06,0.98,-1.62
2.714386,-3.79,0.48,-0.73
2.724892,-3.79,0.48,-0.73
2.734955,-2.75,0.13,-0.38
2.745899,-2.75,0.13,-0.38
2.755502,-0.14,0.03,-0.20
2.765225,-0.14,0.03,-0.20
2.775725,9.41,0.16,-0.33
2.785712,9.41,0.16,-0.33
2.796336,10.31,0.29,23.42
2.805769,10.31,0.29,23.42
2.816342,8.20,0.31,33.77
2.825945,8.20,0.31,33.77
2.836901,11.14,0.14,14.87
2.847851,11.14,0.14,14.87
2.856719,7.72,0.03,6.26
2.866344,7.72,0.03,6.26
2.876875,4.64,0.01,2.59
2.887491,4.64,0.01,2.59
2.901271,2.56,-0.05,1.07
2.908027,2.56,-0.05,1.07
2.917659,1.33,-0.08,0.47
2.927787,1.33,-0.08,0.47
2.937718,0.68,-0.09,0.26
2.947954,0.68,-0.09,0.26
2.958022,0.31,-0.10,0.26
2.968595,0.31,-0.10,0.26
2.978517,0.04,-0.10,0.35
2.988253,0.04,-0.10,0.35
3.001332,-0.18,-0.06,0.44
3.009130,-0.18,-0.06,0.44
3.018586,-0.34,0.03,0.48
3.029563,-0.34,0.03,0.48
3.039376,-0.44,0.14,0.49
3.049161,-0.44,0.14,0.49
3.059650,-0.51,0.24,0.49
3.069809,-0.51,0.24,0.49
3.081265,-0.54,0.32,0.50
3.089914,-0.54,0.32,0.50
3.100225,-0.56,0.38,0.50
3.110244,-0.56,0.38,0.50
3.119932,-0.58,0.39,0.49
3.130846,-0.58,0.39,0.49
3.140841,-0.55,0.34,0.46
3.150887,-0.55,0.34,0.46
3.160926,-0.44,0.25,0.41
3.171040,-0.44,0.25,0.41
3.180729,-0.26,0.14,0.36
3.191830,-0.26,0.14,0.36
3.201396,-0.12,0.05,0.33
3.211873,-0.12,0.05,0.33
