time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001145,-0.0083,0.6858,0.1869,0.711
0.010941,-0.0087,0.6820,0.1865,0.707
0.031076,-0.0088,0.6767,0.1856,0.702
0.031793,-0.0089,0.6723,0.1848,0.697
0.041292,-0.0088,0.6683,0.1841,0.693
0.055300,-0.0086,0.6661,0.1839,0.691
0.061613,-0.0084,0.6648,0.1841,0.690
0.071258,-0.0080,0.6649,0.1847,0.690
0.081644,-0.0076,0.6656,0.1856,0.691
0.091936,-0.0071,0.6668,0.1867,0.693
0.103794,-0.0067,0.6699,0.1884,0.696
0.112048,-0.0063,0.6722,0.1898,0.699
0.122115,-0.0059,0.6760,0.1918,0.703
0.132291,-0.0055,0.6808,0.1942,0.708
0.142706,-0.0050,0.6852,0.1964,0.713
0.164108,-0.0044,0.6884,0.1981,0.716
0.164873,-0.0038,0.6899,0.1990,0.718
0.173268,-0.0032,0.6902,0.1994,0.718
0.183422,-0.0026,0.6907,0.1999,0.719
0.193416,-0.0021,0.6925,0.2009,0.721
0.203573,-0.0016,0.6950,0.2021,0.724
0.213725,-0.0014,0.6981,0.2037,0.727
0.223750,-0.0012,0.7041,0.2062,0.734
0.234401,-0.0011,0.7106,0.2090,0.741
0.244348,-0.0008,0.7171,0.2117,0.748
0.263800,-0.0005,0.7220,0.2138,0.753
0.264693,-0.0004,0.7261,0.2157,0.757
0.274003,-0.0005,0.7298,0.2174,0.761
0.284828,-0.0009,0.7331,0.2191,0.765
0.295034,-0.0016,0.7355,0.2205,0.768
0.304461,-0.0024,0.7364,0.2215,0.769
0.315066,-0.0033,0.7372,0.2226,0.770
0.325318,-0.0043,0.7395,0.2242,0.773
0.335308,-0.0054,0.7412,0.2256,0.775
0.345421,-0.0065,0.7438,0.2272,0.778
0.364043,-0.0077,0.7471,0.2288,0.781
0.365481,-0.0088,0.7501,0.2301,0.785
0.375514,-0.0099,0.7536,0.2314,0.788
0.386204,-0.0109,0.7555,0.2317,0.790
0.396319,-0.0117,0.7575,0.2318,0.792
0.406217,-0.0124,0.7570,0.2309,0.792
0.416175,-0.0128,0.7531,0.2288,0.787
0.425958,-0.0131,0.7478,0.2262,0.781
0.447810,-0.0133,0.7420,0.2232,0.775
0.448881,-0.0134,0.7353,0.2203,0.768
0.456657,-0.0134,0.7278,0.2172,0.760
0.466891,-0.0131,0.7169,0.2131,0.748
0.477103,-0.0124,0.7020,0.2076,0.732
0.487656,-0.0112,0.6825,0.2007,0.712
0.497105,-0.0097,0.6611,0.1931,0.689
0.507220,-0.0080,0.6374,0.1849,0.664
0.517338,-0.0062,0.6147,0.1769,0.640
0.527037,-0.0046,0.5918,0.1691,0.615
0.546520,-0.0030,0.5701,0.1617,0.593
0.548385,-0.0016,0.5506,0.1550,0.572
0.558110,-0.0003,0.5340,0.1494,0.554
0.569594,0.0008,0.5197,0.1447,0.539
0.578441,0.0019,0.5070,0.1407,0.526
0.588608,0.0028,0.4960,0.1373,0.515
0.598275,0.0035,0.4869,0.1346,0.505
0.608996,0.0042,0.4807,0.1328,0.499
0.619860,0.0048,0.4788,0.1324,0.497
0.629054,0.0054,0.4771,0.1321,0.495
0.639053,0.0058,0.4756,0.1319,0.494
0.649228,0.0062,0.4758,0.1322,0.494
0.664552,0.0064,0.4749,0.1321,0.493
0.669577,0.0064,0.4752,0.1322,0.493
0.680185,0.0063,0.4779,0.1331,0.496
0.689686,0.0060,0.4822,0.1345,0.501
0.700458,0.0056,0.4872,0.1362,0.506
0.709967,0.0052,0.4912,0.1378,0.510
0.720294,0.0048,0.4889,0.1378,0.508
0.730442,0.0040,0.4476,0.1274,0.465
0.739791,0.0032,0.4046,0.1163,0.421
0.751001,0.0025,0.3585,0.1042,0.373
0.764293,0.0018,0.3107,0.0913,0.324
0.770186,0.0011,0.2612,0.0774,0.272
0.781046,-0.0003,0.1991,0.0586,0.208
0.790887,-0.0010,0.1356,0.0396,0.141
0.801460,-0.0010,0.0683,0.0197,0.071
0.811999,0.0001,-0.0033,-0.0009,0.003
0.821149,0.0023,-0.0820,-0.0230,0.085
0.831516,0.0069,-0.1972,-0.0548,0.205
0.841543,0.0132,-0.3169,-0.0873,0.329
0.856531,0.0211,-0.4439,-0.1214,0.461
0.861942,0.0303,-0.6152,-0.1682,0.638
0.872410,0.0400,-0.7894,-0.2165,0.820
0.882294,0.0529,-1.0048,-0.2783,1.044
0.892473,0.0668,-1.2223,-0.3427,1.271
0.903291,0.0826,-1.4418,-0.4090,1.501
0.912643,0.1005,-1.6612,-0.4766,1.731
0.922757,0.1210,-1.8797,-0.5442,1.961
0.932820,0.1411,-2.0634,-0.5988,2.153
0.943218,0.1642,-2.2475,-0.6519,2.346
0.956817,0.1898,-2.4291,-0.7027,2.536
0.963297,0.2164,-2.6059,-0.7502,2.720
0.973500,0.2330,-2.7098,-0.7661,2.826
0.983798,0.2179,-2.7205,-0.7600,2.833
0.993642,0.1613,-2.6215,-0.7132,2.722
1.003723,0.0958,-2.3570,-0.6283,2.441
1.014230,0.0277,-1.9148,-0.5085,1.981
1.024024,-0.0108,-1.2881,-0.3500,1.335
1.034336,-0.0104,-0.4757,-0.1347,0.494
1.044415,0.0115,0.4468,0.1318,0.466
1.056286,0.0292,1.4306,0.4329,1.495
1.064651,0.0155,2.4630,0.7553,2.576
1.074424,-0.0399,3.5308,1.0752,3.691
1.086609,-0.1408,4.6435,1.3975,4.851
1.095087,-0.2707,5.7513,1.6909,6.001
