time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001618,0.0212,0.8006,0.0492,0.802
0.007734,0.0212,0.7997,0.0497,0.802
0.030406,0.0212,0.8018,0.0503,0.804
0.031176,0.0212,0.8058,0.0513,0.808
0.037759,0.0212,0.8085,0.0522,0.810
0.047984,0.0212,0.8105,0.0531,0.813
0.058532,0.0212,0.8136,0.0541,0.816
0.068745,0.0213,0.8165,0.0552,0.819
0.080908,0.0215,0.8215,0.0566,0.824
0.089106,0.0218,0.8287,0.0581,0.831
0.098896,0.0220,0.8367,0.0597,0.839
0.114024,0.0221,0.8463,0.0615,0.849
0.119999,0.0223,0.8553,0.0632,0.858
0.129662,0.0225,0.8604,0.0647,0.863
0.139564,0.0227,0.8631,0.0662,0.866
0.150216,0.0228,0.8628,0.0673,0.866
0.160281,0.0230,0.8641,0.0686,0.867
0.179912,0.0233,0.8660,0.0698,0.869
0.180840,0.0236,0.8680,0.0709,0.871
0.190490,0.0239,0.8699,0.0719,0.873
0.200320,0.0241,0.8743,0.0729,0.878
0.210082,0.0243,0.8770,0.0737,0.880
0.220912,0.0243,0.8780,0.0743,0.881
0.230858,0.0244,0.8788,0.0746,0.882
0.240984,0.0245,0.8782,0.0747,0.882
0.253029,0.0245,0.8766,0.0746,0.880
0.261278,0.0245,0.8736,0.0742,0.877
0.271162,0.0243,0.8681,0.0734,0.872
0.281583,0.0241,0.8604,0.0722,0.864
0.296712,0.0239,0.8522,0.0713,0.855
0.302247,0.0237,0.8423,0.0702,0.846
0.311483,0.0235,0.8330,0.0692,0.836
0.322284,0.0234,0.8244,0.0682,0.828
0.332057,0.0234,0.8191,0.0675,0.822
0.341864,0.0235,0.8153,0.0670,0.818
0.353240,0.0235,0.8146,0.0668,0.818
0.362950,0.0235,0.8161,0.0667,0.819
0.372316,0.0234,0.8179,0.0665,0.821
0.383252,0.0234,0.8205,0.0665,0.823
0.396796,0.0232,0.8224,0.0665,0.825
0.403748,0.0230,0.8211,0.0662,0.824
0.413938,0.0227,0.8177,0.0658,0.821
0.422941,0.0225,0.8126,0.0653,0.816
0.433699,0.0221,0.8077,0.0649,0.811
0.443720,0.0218,0.8037,0.0648,0.807
0.453862,0.0217,0.8005,0.0648,0.803
0.463495,0.0216,0.7975,0.0650,0.800
0.474222,0.0214,0.7945,0.0654,0.797
0.497645,0.0213,0.7915,0.0658,0.795
0.498798,0.0212,0.7876,0.0660,0.791
0.504262,0.0212,0.7872,0.0663,0.790
0.514638,0.0211,0.7883,0.0668,0.791
0.525087,0.0209,0.7886,0.0670,0.792
0.536206,0.0207,0.7896,0.0673,0.793
0.544662,0.0205,0.7915,0.0676,0.795
0.555106,0.0203,0.7920,0.0677,0.795
0.565731,0.0201,0.7911,0.0677,0.794
0.575700,0.0200,0.7894,0.0675,0.793
0.598502,0.0198,0.7856,0.0673,0.789
0.599736,0.0197,0.7828,0.0671,0.786
0.606132,0.0196,0.7813,0.0670,0.784
0.615892,0.0196,0.7815,0.0671,0.785
0.625518,0.0196,0.7815,0.0673,0.785
0.636039,0.0196,0.7801,0.0674,0.783
0.646205,0.0195,0.7788,0.0675,0.782
0.656328,0.0194,0.7770,0.0675,0.780
0.666886,0.0193,0.7748,0.0675,0.778
0.676905,0.0192,0.7742,0.0677,0.777
0.696416,0.0193,0.7753,0.0679,0.778
0.697403,0.0193,0.7774,0.0681,0.781
0.706892,0.0193,0.7759,0.0681,0.779
0.717106,0.0194,0.7727,0.0680,0.776
0.727056,0.0194,0.7682,0.0678,0.771
0.737720,0.0195,0.7621,0.0674,0.765
0.747496,0.0195,0.7549,0.0670,0.758
0.758107,0.0195,0.7478,0.0666,0.751
0.781841,0.0194,0.7402,0.0662,0.743
0.782773,0.0193,0.7337,0.0658,0.737
0.788033,0.0192,0.7279,0.0655,0.731
0.798338,0.0192,0.7214,0.0650,0.725
0.808705,0.0193,0.7158,0.0646,0.719
0.819339,0.0194,0.7097,0.0641,0.713
0.829117,0.0195,0.7055,0.0636,0.709
0.838866,0.0197,0.7019,0.0632,0.705
0.849204,0.0198,0.7000,0.0629,0.703
0.859467,0.0200,0.6991,0.0627,0.702
0.873198,0.0201,0.6994,0.0626,0.702
0.879291,0.0202,0.6982,0.0624,0.701
0.889765,0.0202,0.6970,0.0622,0.700
0.899576,0.0202,0.6962,0.0621,0.699
0.910902,0.0202,0.6957,0.0620,0.699
0.920315,0.0202,0.6952,0.0620,0.698
0.930581,0.0203,0.6954,0.0621,0.698
0.940134,0.0204,0.6980,0.0623,0.701
0.950936,0.0205,0.7004,0.0626,0.704
0.960543,0.0204,0.7011,0.0626,0.704
0.974657,0.0203,0.7012,0.0627,0.704
0.980956,0.0202,0.7001,0.0627,0.703
0.990730,0.0201,0.7004,0.0628,0.703
1.000824,0.0199,0.7008,0.0629,0.704
1.010623,0.0197,0.7000,0.0629,0.703
1.021422,0.0195,0.6998,0.0629,0.703
1.031321,0.0192,0.6994,0.0629,0.702
1.041625,0.0189,0.6989,0.0630,0.702
1.052563,0.0188,0.6975,0.0629,0.701
1.062504,0.0186,0.6975,0.0629,0.701
1.072109,0.0185,0.6992,0.0631,0.702
1.082195,0.0185,0.7037,0.0635,0.707
1.091916,0.0185,0.7090,0.0640,0.712
1.102578,0.0185,0.7140,0.0645,0.717
1.112382,0.0184,0.7183,0.0649,0.721
1.122837,0.0183,0.7213,0.0652,0.724
1.133123,0.0182,0.7237,0.0654,0.727
1.143164,0.0179,0.7238,0.0654,0.727
1.152945,0.0176,0.7238,0.0654,0.727
1.163102,0.0174,0.7244,0.0655,0.728
1.173335,0.0150,0.7248,0.0649,0.728
1.183422,0.0145,0.7250,0.0650,0.728
1.193483,0.0134,0.7239,0.0662,0.727
1.203433,0.0141,0.7238,0.0683,0.727
1.213746,0.0142,0.7248,0.0702,0.728
1.224078,0.0139,0.7249,0.0730,0.729
1.234221,0.0138,0.7250,0.0748,0.729
1.244107,0.0139,0.7260,0.0777,0.730
1.254070,0.0133,0.7262,0.0795,0.731
1.264737,0.0131,0.7243,0.0802,0.729
1.274200,0.0130,0.7200,0.0815,0.725
1.290583,0.0126,0.7138,0.0820,0.719
1.295375,0.0123,0.7063,0.0827,0.711
1.304829,0.0108,0.6988,0.0828,0.704
1.315115,0.0070,0.6919,0.0821,0.697
1.324848,0.0033,0.6851,0.0811,0.690
1.336195,0.0010,0.6786,0.0798,0.683
1.345439,0.0002,0.6721,0.0805,0.677
1.355279,0.0005,0.6663,0.0814,0.671
1.366136,-0.0008,0.6615,0.0821,0.667
1.376017,-0.0017,0.6575,0.0829,0.663
1.390345,-0.0030,0.6555,0.0826,0.661
1.396326,-0.0026,0.6544,0.0812,0.659
1.406140,-0.0031,0.6535,0.0788,0.658
1.416356,-0.0029,0.6527,0.0767,0.657
1.426155,-0.0028,0.6525,0.0737,0.657
1.436285,-0.0016,0.6527,0.0713,0.657
1.447112,-0.0016,0.6522,0.0677,0.656
1.457169,-0.0013,0.6533,0.0648,0.656
1.468657,-0.0007,0.6545,0.0635,0.658
1.477872,0.0005,0.6582,0.0622,0.661
1.487056,0.0012,0.6630,0.0618,0.666
1.498226,0.0023,0.6699,0.0613,0.673
1.507075,0.0041,0.6787,0.0623,0.682
1.518528,0.0077,0.6873,0.0628,0.690
1.528008,0.0117,0.6964,0.0647,0.700
1.538236,0.0158,0.7045,0.0677,0.708
1.548184,0.0194,0.7126,0.0682,0.716
1.557906,0.0222,0.7182,0.0676,0.722
1.568681,0.0263,0.7223,0.0672,0.726
1.578826,0.0299,0.7272,0.0670,0.731
1.588691,0.0319,0.7301,0.0673,0.734
1.599295,0.0323,0.7326,0.0683,0.736
1.609212,0.0323,0.7347,0.0699,0.739
1.619131,0.0307,0.7362,0.0725,0.740
1.629097,0.0297,0.7371,0.0759,0.742
1.639043,0.0282,0.7378,0.0785,0.742
1.649305,0.0265,0.7380,0.0816,0.743
