time,wx (rad/s),wy (rad/s),wz (rad/s)
0.001581,0.02,0.01,-0.07
0.006227,0.02,0.01,-0.07
0.016810,0.02,0.01,-0.07
0.031000,0.01,0.05,-0.08
0.036811,0.01,0.05,-0.08
0.047613,-0.00,0.08,-0.07
0.057343,-0.00,0.08,-0.07
0.067379,-0.01,0.08,-0.06
0.077326,-0.01,0.08,-0.06
0.087932,-0.01,0.04,-0.05
0.098132,-0.01,0.04,-0.05
0.108384,-0.01,0.01,-0.03
0.119406,-0.01,0.01,-0.03
0.128413,-0.02,0.02,-0.02
0.139074,-0.02,0.02,-0.02
0.149268,-0.05,0.06,-0.01
0.161912,-0.05,0.06,-0.01
0.169669,-0.08,0.06,-0.01
0.179351,-0.08,0.06,-0.01
0.189087,-0.08,0.01,-0.01
0.198900,-0.08,0.01,-0.01
0.209459,-0.07,-0.03,-0.02
0.219959,-0.07,-0.03,-0.02
0.229751,-0.05,-0.03,-0.02
0.239697,-0.05,-0.03,-0.02
0.249821,-0.05,-0.00,-0.01
0.262718,-0.05,-0.00,-0.01
0.270134,-0.06,-0.00,-0.01
0.280131,-0.06,-0.00,-0.01
0.290547,-0.06,-0.03,-0.01
0.300732,-0.06,-0.03,-0.01
0.310540,-0.04,-0.06,-0.00
0.320496,-0.04,-0.06,-0.00
0.331333,-0.01,-0.04,0.01
0.340840,-0.01,-0.04,0.01
0.351333,0.02,-0.00,0.02
0.363648,0.02,-0.00,0.02
0.371173,0.06,0.01,0.02
0.381288,0.06,0.01,0.02
0.391573,0.07,-0.00,0.02
0.402423,0.07,-0.00,0.02
0.411843,0.08,-0.01,0.00
0.422685,0.08,-0.01,0.00
0.432452,0.07,-0.00,-0.01
0.441870,0.07,-0.00,-0.01
0.462941,-0.00,-0.00,-0.00
0.464058,-0.00,-0.00,-0.00
0.472459,-0.00,0.00,0.00
0.482821,-0.00,0.00,0.00
0.492902,0.00,0.00,0.00
0.502887,0.00,0.00,0.00
0.513669,-0.00,0.00,-0.00
0.523662,-0.00,0.00,-0.00
0.533743,-0.00,-0.00,-0.00
0.543556,-0.00,-0.00,-0.00
0.563732,0.00,-0.00,0.00
0.564727,0.00,-0.00,0.00
0.573873,0.00,-0.00,-0.00
0.583955,0.00,-0.00,-0.00
0.594815,0.00,0.00,-0.00
0.604375,0.00,0.00,-0.00
0.615334,-0.00,0.00,-0.00
0.625015,-0.00,0.00,-0.00
0.636060,-0.00,0.00,-0.00
0.645525,-0.00,0.00,-0.00
0.655296,0.00,0.00,0.00
0.664926,0.00,0.00,0.00
0.680600,0.00,-0.00,0.00
0.685504,0.00,-0.00,0.00
0.696065,-0.00,-0.00,-0.00
0.705876,-0.00,-0.00,-0.00
0.716359,0.00,-0.00,0.00
0.726335,0.00,-0.00,0.00
0.736047,-0.00,-0.00,0.00
0.746543,-0.00,-0.00,0.00
0.762729,0.00,0.00,-0.00
0.767288,0.00,0.00,-0.00
0.777002,-0.00,0.00,-0.00
0.786959,-0.00,0.00,-0.00
0.796770,-0.00,-0.00,0.00
0.806689,-0.00,-0.00,0.00
0.817468,0.00,0.00,0.00
0.827228,0.00,0.00,0.00
0.837235,0.00,0.00,-0.00
0.847777,0.00,0.00,-0.00
0.857333,0.00,0.00,-0.00
0.870263,0.00,0.00,-0.00
0.877547,-0.00,-0.00,-0.00
0.887981,-0.00,-0.00,-0.00
0.898434,-0.00,0.00,-0.00
0.908396,-0.00,0.00,-0.00
0.919056,0.00,0.00,-0.00
0.929419,0.00,0.00,-0.00
0.939185,0.00,-0.00,-0.00
0.949440,0.00,-0.00,-0.00
0.959382,-0.00,0.00,0.00
0.970075,-0.00,0.00,0.00
0.979430,0.00,0.00,0.00
0.989056,0.00,0.00,0.00
0.999829,0.00,0.00,0.00
1.009902,0.00,0.00,0.00
1.019662,-0.00,-0.00,0.00
1.030009,-0.00,-0.00,0.00
1.040244,-0.00,-0.00,0.00
1.050557,-0.00,-0.00,0.00
1.060531,-0.00,-0.00,-0.00
1.070233,-0.00,-0.00,-0.00
1.080479,0.00,-0.00,-0.00
1.090678,0.00,-0.00,-0.00
1.102353,-0.00,-0.00,-0.00
1.111517,-0.00,-0.00,-0.00
1.121356,0.00,-0.00,-0.00
1.131548,0.00,-0.00,-0.00
1.141303,0.00,-0.00,-0.00
1.158188,0.00,-0.00,-0.00
1.161108,-0.00,0.00,0.00
1.171512,-0.00,0.00,0.00
1.181934,-0.00,-0.00,0.00
1.191487,-0.00,-0.00,0.00
1.202434,-0.00,-0.00,-0.00
1.212376,-0.00,-0.00,-0.00
1.222615,-0.00,-0.00,0.00
1.232334,-0.00,-0.00,0.00
1.243027,-0.00,-0.00,0.00
1.254773,-0.00,-0.00,0.00
1.263251,0.00,0.00,-0.00
1.272520,0.00,0.00,-0.00
1.283173,0.00,0.00,-0.00
1.293216,0.00,0.00,-0.00
1.302952,-0.00,0.00,0.00
1.313545,-0.00,0.00,0.00
1.323817,0.00,-0.00,-0.00
1.333433,0.00,-0.00,-0.00
1.344179,-0.00,-0.00,-0.00
1.355560,-0.00,-0.00,-0.00
1.364148,0.00,-0.00,-0.00
1.373996,0.00,-0.00,-0.00
1.388136,-0.00,-0.00,-0.00
1.395208,-0.00,-0.00,-0.00
1.404303,-0.00,-0.00,0.00
1.414831,-0.00,-0.00,0.00
1.424940,-0.00,0.00,0.00
1.435247,-0.00,0.00,0.00
1.445670,-0.00,0.00,-0.00
1.455753,-0.00,0.00,-0.00
1.466383,0.00,-0.00,-0.00
1.475447,0.00,-0.00,-0.00
1.486944,-0.00,0.00,0.00
1.495854,-0.00,0.00,0.00
1.506285,0.00,-0.00,-0.00
1.516444,0.00,-0.00,-0.00
1.526451,-0.00,0.00,0.00
1.536506,-0.00,0.00,0.00
1.547575,0.00,-0.00,-0.00
1.556833,0.00,-0.00,-0.00
1.567283,-0.00,-0.00,-0.00
1.577190,-0.00,-0.00,-0.00
1.587629,-0.00,0.00,-0.00
1.598093,-0.00,0.00,-0.00
1.607275,-0.00,-0.00,0.00
1.618858,-0.00,-0.00,0.00
1.627968,0.00,-0.00,0.00
1.637903,0.00,-0.00,0.00
1.648603,-0.00,-0.00,0.00
1.658338,-0.00,-0.00,0.00
1.671143,-0.00,0.00,-0.00
1.678668,-0.00,0.00,-0.00
1.688540,-0.00,0.00,0.00
1.698927,-0.00,0.00,0.00
1.708976,0.00,-0.00,0.00
1.719792,0.00,-0.00,0.00
1.729747,-0.00,0.00,-0.00
1.739170,-0.00,0.00,-0.00
1.750132,0.00,-0.00,-0.00
1.759602,0.00,-0.00,-0.00
1.770898,-0.00,0.00,-0.00
1.780274,-0.00,0.00,-0.00
1.789329,-0.00,0.00,-0.00
1.800457,-0.00,0.00,-0.00
1.810602,-0.00,0.00,-0.00
1.819943,-0.00,0.00,-0.00
1.831373,-0.00,0.00,-0.00
1.840582,-0.00,0.00,-0.00
1.856721,0.00,0.00,-0.00
1.860750,0.00,0.00,-0.00
1.870575,0.00,-0.00,0.00
1.880988,0.00,-0.00,0.00
1.891021,0.00,-0.00,0.00
1.902473,0.00,-0.00,0.00
1.911424,0.00,0.00,0.00
1.921359,0.00,0.00,0.00
1.931787,0.00,-0.00,-0.00
1.942109,0.00,-0.00,-0.00
1.957118,0.00,-0.00,0.00
1.962724,0.00,-0.00,0.00
1.972207,0.00,0.00,0.00
1.982112,0.00,0.00,0.00
1.992976,0.00,0.00,0.00
2.003009,0.00,0.00,0.00
2.012960,0.00,-0.00,0.00
2.022909,0.00,-0.00,0.00
2.035544,0.00,-0.00,0.00
