time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001061,0.0426,0.7459,0.0400,0.748
0.006618,0.0510,0.7425,0.0346,0.745
0.028725,0.0581,0.7392,0.0299,0.742
0.029500,0.0647,0.7368,0.0263,0.740
0.036856,0.0714,0.7368,0.0227,0.741
0.047797,0.0772,0.7391,0.0205,0.743
0.057553,0.0831,0.7417,0.0174,0.747
0.067870,0.0877,0.7460,0.0154,0.751
0.078132,0.0912,0.7499,0.0126,0.756
0.088271,0.0955,0.7553,0.0099,0.761
0.097702,0.0986,0.7620,0.0084,0.768
0.108888,0.0994,0.7703,0.0098,0.777
0.127792,0.0971,0.7787,0.0150,0.785
0.128600,0.0938,0.7850,0.0213,0.791
0.138544,0.0892,0.7902,0.0282,0.796
0.150660,0.0856,0.7959,0.0331,0.801
0.159346,0.0829,0.7999,0.0366,0.805
0.169508,0.0799,0.8021,0.0391,0.807
0.179532,0.0769,0.8064,0.0398,0.811
0.188707,0.0733,0.8121,0.0439,0.817
0.200256,0.0679,0.8191,0.0473,0.823
0.210339,0.0619,0.8239,0.0506,0.828
0.220431,0.0569,0.8269,0.0532,0.831
0.230200,0.0528,0.8306,0.0555,0.834
0.243553,0.0485,0.8304,0.0587,0.834
0.250193,0.0445,0.8276,0.0607,0.831
0.260157,0.0418,0.8245,0.0641,0.828
0.270336,0.0401,0.8204,0.0677,0.824
0.280792,0.0401,0.8159,0.0716,0.820
0.290632,0.0393,0.8116,0.0740,0.816
0.300792,0.0391,0.8071,0.0766,0.812
0.310616,0.0386,0.8013,0.0788,0.806
0.330336,0.0390,0.7951,0.0816,0.800
0.331831,0.0390,0.7892,0.0845,0.795
0.341254,0.0396,0.7840,0.0873,0.790
0.351527,0.0389,0.7781,0.0909,0.784
0.362079,0.0394,0.7741,0.0948,0.781
0.372064,0.0394,0.7700,0.0968,0.777
0.381800,0.0398,0.7664,0.0995,0.774
0.392074,0.0398,0.7638,0.1013,0.772
0.401893,0.0401,0.7599,0.1009,0.768
0.412500,0.0406,0.7582,0.0981,0.766
0.428221,0.0427,0.7573,0.0944,0.764
0.433034,0.0472,0.7553,0.0888,0.762
0.442185,0.0528,0.7543,0.0832,0.761
0.452891,0.0583,0.7546,0.0784,0.761
0.463001,0.0632,0.7547,0.0738,0.761
0.473295,0.0675,0.7543,0.0686,0.760
0.483676,0.0708,0.7538,0.0625,0.760
0.493539,0.0744,0.7523,0.0577,0.758
0.503434,0.0773,0.7496,0.0522,0.755
0.514229,0.0800,0.7474,0.0465,0.753
0.528112,0.0818,0.7442,0.0416,0.750
0.534290,0.0839,0.7415,0.0371,0.747
0.544815,0.0848,0.7399,0.0339,0.746
0.554020,0.0857,0.7390,0.0294,0.745
0.564999,0.0856,0.7379,0.0258,0.743
0.574466,0.0854,0.7386,0.0234,0.744
0.584179,0.0845,0.7394,0.0203,0.744
0.594527,0.0842,0.7403,0.0170,0.745
0.604671,0.0834,0.7419,0.0161,0.747
0.614585,0.0827,0.7423,0.0177,0.747
0.627353,0.0801,0.7420,0.0203,0.747
0.635736,0.0751,0.7414,0.0250,0.746
0.644942,0.0695,0.7419,0.0299,0.746
0.655150,0.0643,0.7411,0.0345,0.745
0.666476,0.0583,0.7399,0.0371,0.743
0.675795,0.0520,0.7392,0.0407,0.742
0.685812,0.0465,0.7381,0.0450,0.741
0.695709,0.0431,0.7384,0.0490,0.741
0.706008,0.0414,0.7385,0.0538,0.742
0.727865,0.0420,0.7374,0.0582,0.741
0.729154,0.0450,0.7372,0.0617,0.741
0.736864,0.0489,0.7383,0.0651,0.743
0.746150,0.0554,0.7390,0.0680,0.744
0.756681,0.0630,0.7402,0.0722,0.746
0.766698,0.0707,0.7412,0.0765,0.749
0.777285,0.0795,0.7408,0.0794,0.749
0.787389,0.0898,0.7402,0.0819,0.750
0.796861,0.0267,0.7383,0.1094,0.747
0.807911,0.0275,0.7392,0.1098,0.748
0.827504,0.0283,0.7393,0.1100,0.748
0.828733,0.0291,0.7405,0.1104,0.749
0.838092,0.0301,0.7438,0.1111,0.753
0.848741,0.0310,0.7467,0.1116,0.756
0.858540,0.0319,0.7494,0.1121,0.758
0.868321,0.0328,0.7516,0.1126,0.761
0.878130,0.0337,0.7536,0.1131,0.763
0.887899,0.0345,0.7554,0.1134,0.765
0.898542,0.0350,0.7551,0.1134,0.764
0.908250,0.0353,0.7559,0.1134,0.765
0.921036,0.0355,0.7573,0.1137,0.767
0.928757,0.0355,0.7590,0.1140,0.768
0.938879,0.0354,0.7599,0.1140,0.769
0.950119,0.0351,0.7599,0.1139,0.769
0.959575,0.0347,0.7589,0.1137,0.768
0.970407,0.0342,0.7571,0.1132,0.766
0.980361,0.0337,0.7564,0.1130,0.766
0.989689,0.0330,0.7548,0.1127,0.764
1.000750,0.0323,0.7542,0.1125,0.763
1.010505,0.0315,0.7524,0.1121,0.761
1.020688,0.0307,0.7522,0.1121,0.761
1.030263,0.0298,0.7525,0.1121,0.761
1.040910,0.0290,0.7510,0.1120,0.760
1.051561,0.0283,0.7489,0.1118,0.758
1.061203,0.0274,0.7480,0.1116,0.757
1.070798,0.0266,0.7464,0.1114,0.755
1.081314,0.0259,0.7444,0.1110,0.753
1.091535,0.0251,0.7421,0.1106,0.751
1.101246,0.0246,0.7405,0.1102,0.749
1.111900,0.0241,0.7396,0.1100,0.748
1.121915,0.0237,0.7393,0.1099,0.748
1.133860,0.0233,0.7386,0.1096,0.747
1.141626,0.0230,0.7386,0.1095,0.747
1.152101,0.0228,0.7398,0.1096,0.748
1.162622,0.0225,0.7409,0.1097,0.749
1.172643,0.0223,0.7429,0.1100,0.751
1.183506,0.0221,0.7451,0.1103,0.754
1.193722,0.0219,0.7474,0.1106,0.756
1.202798,0.0217,0.7487,0.1108,0.757
1.213991,0.0216,0.7505,0.1112,0.759
1.223027,0.0216,0.7525,0.1115,0.761
1.234177,0.0216,0.7526,0.1115,0.761
1.242909,0.0216,0.7526,0.1115,0.761
1.253314,0.0214,0.7530,0.1115,0.762
1.263647,0.0213,0.7537,0.1116,0.762
