time,wx (rad/s),wy (rad/s),wz (rad/s)
0.002355,0.00,0.00,0.00
0.010873,0.00,0.00,0.00
0.020793,0.00,-0.00,-0.00
0.031314,0.00,-0.00,-0.00
0.041130,0.00,0.00,-0.00
0.051326,0.00,0.00,-0.00
0.061322,0.00,0.00,-0.00
0.071808,0.00,0.00,-0.00
0.081813,-0.00,-0.00,0.00
0.092180,-0.00,-0.00,0.00
0.101617,-0.00,0.00,-0.00
0.112359,-0.00,0.00,-0.00
0.122112,-0.00,0.00,0.00
0.132394,-0.00,0.00,0.00
0.142865,-0.00,0.00,0.00
0.152910,-0.00,0.00,0.00
0.163926,0.00,-0.00,0.00
0.172990,0.00,-0.00,0.00
0.191173,0.00,-0.00,-0.00
0.193573,0.00,-0.00,-0.00
0.204078,-0.00,0.00,-0.00
0.213838,-0.00,0.00,-0.00
0.223522,-0.00,0.00,0.00
0.233713,-0.00,0.00,0.00
0.244944,-0.00,-0.00,0.00
0.253590,-0.00,-0.00,0.00
0.274149,0.00,0.00,-0.00
0.274978,0.00,0.00,-0.00
0.284762,0.00,-0.00,0.00
0.294877,0.00,-0.00,0.00
0.304596,-0.00,-0.00,-0.00
0.315327,-0.00,-0.00,-0.00
0.324875,0.00,-0.00,0.00
0.335295,0.00,-0.00,0.00
0.346705,0.00,0.00,0.00
0.355191,0.00,0.00,0.00
0.365752,0.00,0.00,-0.00
0.375954,0.00,0.00,-0.00
0.392024,-0.00,-0.00,0.00
0.396265,-0.00,-0.00,0.00
0.406180,0.00,-0.00,0.00
0.416460,0.00,-0.00,0.00
0.426195,0.00,0.00,0.00
0.436792,0.00,0.00,0.00
0.447127,-0.00,-0.00,-0.00
0.456695,-0.00,-0.00,-0.00
0.467304,0.00,0.00,0.00
0.477417,0.00,0.00,0.00
0.489145,-0.00,0.00,-0.00
0.497955,-0.00,0.00,-0.00
0.507624,0.00,0.00,0.00
0.516987,0.00,0.00,0.00
0.528493,0.00,0.00,-0.00
0.538650,0.00,0.00,-0.00
0.548659,0.00,0.00,0.00
0.558784,0.00,0.00,0.00
0.568246,-0.00,-0.00,-0.00
0.578547,-0.00,-0.00,-0.00
0.590187,-0.00,-0.00,0.00
0.598691,-0.00,-0.00,0.00
0.608957,-0.00,0.00,-0.00
0.619032,-0.00,0.00,-0.00
0.629655,0.00,-0.00,0.00
0.639415,0.00,-0.00,0.00
0.649719,0.00,0.00,0.00
0.659400,0.00,0.00,0.00
0.669467,0.00,0.00,0.00
0.690624,0.00,0.00,0.00
0.691619,0.00,-0.00,-0.00
0.699764,0.00,-0.00,-0.00
0.710126,0.00,0.00,-0.00
0.720111,0.00,0.00,-0.00
0.729901,-0.00,0.00,0.00
0.740426,-0.00,0.00,0.00
0.750556,0.00,-0.00,0.00
0.760753,0.00,-0.00,0.00
0.771155,0.00,0.00,0.00
0.790576,0.00,0.00,0.00
0.791688,0.00,0.00,-0.00
0.801108,0.00,0.00,-0.00
0.811999,-0.00,-0.00,0.00
0.822118,-0.00,-0.00,0.00
0.832130,0.00,0.00,-0.00
0.841496,0.00,0.00,-0.00
0.851690,0.00,-0.00,0.00
0.863244,0.00,-0.00,0.00
0.872543,-0.00,-0.00,-0.00
0.882084,-0.00,-0.00,-0.00
0.892835,-0.00,-0.00,-0.00
0.902116,-0.00,-0.00,-0.00
0.913194,-0.00,0.00,-0.00
0.922775,-0.00,0.00,-0.00
0.933079,-0.00,-0.00,-0.00
0.943706,-0.00,-0.00,-0.00
0.953698,0.00,0.00,-0.00
0.963495,0.00,0.00,-0.00
0.974043,-0.00,0.00,-0.00
0.983865,-0.00,0.00,-0.00
0.993585,-0.00,-0.00,0.00
1.004193,-0.00,-0.00,0.00
1.014266,-0.00,0.00,-0.00
1.024141,-0.00,0.00,-0.00
1.034229,-0.00,0.00,0.00
1.044546,-0.00,0.00,0.00
