time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.284808,-0.0011,0.8532,0.0403,0.854
1.295498,-0.0007,0.8452,0.0401,0.846
1.305058,-0.0001,0.8400,0.0403,0.841
1.316426,0.0005,0.8345,0.0404,0.836
1.325064,0.0009,0.8311,0.0407,0.832
1.335764,0.0013,0.8269,0.0408,0.828
1.345595,0.0016,0.8222,0.0408,0.823
1.355591,0.0018,0.8185,0.0408,0.820
1.366732,0.0021,0.8154,0.0409,0.816
1.375967,0.0023,0.8129,0.0410,0.814
1.385881,0.0024,0.8117,0.0412,0.813
1.396371,0.0025,0.8113,0.0414,0.812
1.405876,0.0027,0.8105,0.0417,0.812
1.416554,0.0028,0.8093,0.0419,0.810
1.426884,0.0029,0.8082,0.0421,0.809
1.436847,0.0029,0.8084,0.0422,0.810
1.447185,0.0028,0.8085,0.0421,0.810
1.456980,0.0027,0.8073,0.0419,0.808
1.467206,0.0027,0.8070,0.0416,0.808
1.477406,0.0028,0.8067,0.0412,0.808
1.487387,0.0028,0.8065,0.0410,0.808
1.497751,0.0028,0.8048,0.0407,0.806
1.507795,0.0027,0.8020,0.0405,0.803
1.517522,0.0024,0.7998,0.0402,0.801
1.528576,0.0024,0.7970,0.0399,0.798
1.538305,0.0025,0.7949,0.0398,0.796
1.552083,0.0028,0.7913,0.0398,0.792
1.558398,0.0032,0.7862,0.0398,0.787
1.571715,0.0036,0.7808,0.0399,0.782
1.578472,0.0039,0.7733,0.0401,0.774
1.588441,0.0041,0.7654,0.0402,0.766
1.603792,0.0045,0.7571,0.0403,0.758
1.609157,0.0050,0.7498,0.0405,0.751
1.619313,0.0055,0.7424,0.0407,0.744
1.629590,0.0061,0.7350,0.0412,0.736
1.639486,0.0067,0.7259,0.0417,0.727
1.650412,0.0074,0.7170,0.0423,0.718
1.659626,0.0082,0.7090,0.0431,0.710
1.669182,0.0089,0.7022,0.0437,0.704
1.680604,0.0095,0.6992,0.0443,0.701
1.690087,0.0100,0.6993,0.0450,0.701
1.703865,0.0106,0.7012,0.0456,0.703
1.710273,0.0111,0.7047,0.0462,0.706
1.719924,0.0119,0.7087,0.0468,0.710
1.730507,0.0128,0.7143,0.0475,0.716
1.740767,0.0138,0.7223,0.0482,0.724
1.751071,0.0148,0.7323,0.0490,0.734
1.761375,0.0160,0.7439,0.0499,0.746
1.771226,0.0171,0.7560,0.0506,0.758
1.781304,0.0183,0.7684,0.0515,0.770
1.791242,0.0196,0.7831,0.0525,0.785
1.803861,0.0209,0.7969,0.0535,0.799
1.811783,0.0220,0.8090,0.0542,0.811
1.821449,0.0230,0.8196,0.0547,0.822
1.833170,0.0238,0.8279,0.0548,0.830
1.842144,0.0245,0.8356,0.0547,0.838
1.852948,0.0252,0.8427,0.0545,0.845
1.862804,0.0258,0.8499,0.0540,0.852
1.872605,0.0261,0.8550,0.0535,0.857
1.883044,0.0264,0.8565,0.0530,0.859
1.892783,0.0267,0.8564,0.0525,0.858
1.903169,0.0269,0.8536,0.0521,0.856
1.913433,0.0268,0.8474,0.0518,0.849
1.923309,0.0264,0.8387,0.0515,0.841
1.932602,0.0260,0.8283,0.0511,0.830
1.943981,0.0252,0.8135,0.0505,0.815
1.953853,0.0243,0.7964,0.0498,0.798
1.964225,0.0231,0.7763,0.0488,0.778
1.974282,0.0219,0.7544,0.0477,0.756
