time,wx (rad/s),wy (rad/s),wz (rad/s)
0.001474,-0.00,-0.00,-0.00
0.011010,0.00,-0.00,-0.00
0.020746,0.00,-0.00,-0.00
0.030961,-0.00,-0.00,0.00
0.041448,-0.00,-0.00,0.00
0.050613,-0.00,0.00,-0.00
0.061236,-0.00,0.00,-0.00
0.071434,0.00,-0.00,-0.00
0.081516,0.00,-0.00,-0.00
0.091443,-0.00,0.00,0.00
0.106741,-0.00,0.00,0.00
0.112131,0.00,-0.00,0.00
0.122017,0.00,-0.00,0.00
0.132269,-0.00,-0.00,0.00
0.141998,-0.00,-0.00,0.00
0.151943,-0.00,-0.00,0.00
0.163829,-0.00,-0.00,0.00
0.172648,-0.00,-0.00,-0.00
0.182458,-0.00,-0.00,-0.00
0.193127,0.00,0.00,0.00
0.202780,0.00,0.00,0.00
0.213495,-0.00,-0.00,-0.00
0.222999,-0.00,-0.00,-0.00
0.234087,-0.00,0.00,0.00
0.243938,-0.00,0.00,0.00
0.253961,0.00,0.00,-0.00
0.264229,0.00,0.00,-0.00
0.273866,-0.00,0.00,-0.00
0.290109,-0.00,0.00,-0.00
0.294466,-0.00,0.00,-0.00
0.304196,-0.00,0.00,-0.00
0.314168,-0.00,-0.00,0.00
0.324108,-0.00,-0.00,0.00
0.334470,0.00,0.00,-0.00
0.344418,0.00,0.00,-0.00
0.354659,0.00,0.00,-0.00
0.365114,0.00,0.00,-0.00
0.375076,-0.00,-0.00,-0.00
0.390801,-0.00,-0.00,-0.00
0.396025,0.00,-0.00,-0.00
0.405589,0.00,-0.00,-0.00
0.416207,0.00,0.00,-0.00
0.425698,0.00,0.00,-0.00
0.436348,0.00,-0.00,0.00
0.446602,0.00,-0.00,0.00
0.456358,-0.00,0.00,0.00
0.466327,-0.00,0.00,0.00
0.476619,0.00,0.00,0.00
0.490604,0.00,0.00,0.00
0.496820,-0.00,-0.00,-0.00
0.506690,-0.00,-0.00,-0.00
0.517044,-0.00,0.00,-0.00
0.527320,-0.00,0.00,-0.00
0.537860,-0.00,0.00,0.00
0.547356,-0.00,0.00,0.00
0.558014,0.00,0.00,-0.00
0.567267,0.00,0.00,-0.00
0.592187,0.00,0.00,0.00
0.596151,0.00,0.00,0.00
0.600056,0.00,0.00,-0.00
0.608500,0.00,0.00,-0.00
0.618971,-0.00,0.00,0.00
0.629909,-0.00,0.00,0.00
0.639117,0.00,0.00,0.00
0.648984,0.00,0.00,0.00
0.659251,-0.00,0.00,0.00
0.669555,-0.00,0.00,0.00
0.689477,0.00,-0.00,-0.00
0.690441,0.00,-0.00,-0.00
0.699297,0.00,0.00,-0.00
0.710006,0.00,0.00,-0.00
0.719693,-0.00,-0.00,0.00
0.729790,-0.00,-0.00,0.00
0.740396,0.00,-0.00,-0.00
0.750109,0.00,-0.00,-0.00
0.760538,-0.00,-0.00,-0.00
0.770367,-0.00,-0.00,-0.00
0.790950,-0.00,0.00,-0.00
0.792072,-0.00,0.00,-0.00
