linear_ax_m/s^2,linear_ay_m/s^2,linear_az_m/s^2,linear_at_m/s^2,linear_time,wx_rad/s,wy_rad/s,wz_rad/s,activity
-0.0858,0.7672,0.1891,0.795,0.009476,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.011476277044854882,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.013476554089709762,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.015476831134564644,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.017477108179419526,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.019477385224274408,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.02147766226912929,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.02347793931398417,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.025478216358839054,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.027478493403693932,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.029478770448548818,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.031479047493403696,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.033479324538258574,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.03547960158311346,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.03747987862796834,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.039480155672823224,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.0414804327176781,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.04348070976253298,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.045480986807387866,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.047481263852242744,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.04948154089709763,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.05148181794195251,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.053482094986807394,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.05548237203166227,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.05748264907651715,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.059482926121372036,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.061483203166226914,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.0634834802110818,0.0,0.0,0.0,walking
